sample_id,filename,filetype,path,total_gbp,coverage,n50
HG01175,HG01175_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01175_r10-hifiasm-correct.ec.ont.fq.gz,194.699,59.0,128602
HG01176,HG01176_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01176_r10-hifiasm-correct.ec.ont.fq.gz,138.35,41.92,127561
HG01192,HG01192_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01192_r10-hifiasm-correct.ec.ont.fq.gz,188.252,57.05,95856
HG01252,HG01252_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01252_r10-hifiasm-correct.ec.ont.fq.gz,160.631,48.68,104512
HG01255,HG01255_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01255_r10-hifiasm-correct.ec.ont.fq.gz,250.738,75.98,75826
HG01258,HG01258_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01258_r10-hifiasm-correct.ec.ont.fq.gz,145.74,44.16,121511
HG01261,HG01261_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01261_r10-hifiasm-correct.ec.ont.fq.gz,239.939,72.71,90581
HG01346,HG01346_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01346_r10-hifiasm-correct.ec.ont.fq.gz,171.528,51.98,100549
HG01358,HG01358_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01358_r10-hifiasm-correct.ec.ont.fq.gz,176.417,53.46,118192
HG01361,HG01361_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01361_r10-hifiasm-correct.ec.ont.fq.gz,147.325,44.64,122872
HG01374,HG01374_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01374_r10-hifiasm-correct.ec.ont.fq.gz,187.851,56.92,110960
HG01433,HG01433_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01433_r10-hifiasm-correct.ec.ont.fq.gz,183.016,55.46,95418
HG01479,HG01479_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01479_r10-hifiasm-correct.ec.ont.fq.gz,175.052,53.05,106717
HG01496,HG01496_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01496_r10-hifiasm-correct.ec.ont.fq.gz,200.486,60.75,106151
HG01516,HG01516_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01516_r10-hifiasm-correct.ec.ont.fq.gz,278.036,84.25,81784
HG01522,HG01522_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01522_r10-hifiasm-correct.ec.ont.fq.gz,241.864,73.29,91075
HG01530,HG01530_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01530_r10-hifiasm-correct.ec.ont.fq.gz,183.202,55.52,122271
HG01610,HG01610_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01610_r10-hifiasm-correct.ec.ont.fq.gz,181.416,54.97,88526
HG01624,HG01624_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01624_r10-hifiasm-correct.ec.ont.fq.gz,173.983,52.72,109025
HG01700,HG01700_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01700_r10-hifiasm-correct.ec.ont.fq.gz,218.122,66.1,109243
HG01766,HG01766_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01766_r10-hifiasm-correct.ec.ont.fq.gz,285.863,86.63,93135
HG01784,HG01784_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01784_r10-hifiasm-correct.ec.ont.fq.gz,221.274,67.05,119083
